Epoch [172/200], Step [20/25], disc_loss: 0.0088, gen_loss: 5.4771, D(x): 1.00, D (G(z)): 0.02
Epoch [173/200], Step [20/25], disc_loss: 0.0115, gen_loss: 5.3704, D(x): 1.00, D (G(z)): 0.02
Epoch [174/200], Step [20/25], disc_loss: 0.2873, gen_loss: 3.2032, D(x): 0.68, D (G(z)): 0.03
Epoch [175/200], Step [20/25], disc_loss: 0.0622, gen_loss: 18.6406, D(x): 0.89, D (G(z)): 0.00
Epoch [176/200], Step [20/25], disc_loss: 0.0322, gen_loss: 7.1161, D(x): 0.94, D (G(z)): 0.00
Epoch [177/200], Step [20/25], disc_loss: 0.0955, gen_loss: 4.5847, D(x): 0.87, D (G(z)): 0.02
Epoch [178/200], Step [20/25], disc_loss: 0.0153, gen_loss: 5.4431, D(x): 1.00, D (G(z)): 0.03
Epoch [179/200], Step [20/25], disc_loss: 0.0569, gen_loss: 5.3375, D(x): 1.00, D (G(z)): 0.11
Epoch [180/200], Step [20/25], disc_loss: 0.0843, gen_loss: 4.6371, D(x): 0.88, D (G(z)): 0.03
Epoch [181/200], Step [20/25], disc_loss: 0.0349, gen_loss: 5.5650, D(x): 0.95, D (G(z)): 0.02
Epoch [182/200], Step [20/25], disc_loss: 0.0010, gen_loss: 9.8829, D(x): 1.00, D (G(z)): 0.00
Epoch [183/200], Step [20/25], disc_loss: 0.0024, gen_loss: 10.1805, D(x): 1.00, D (G(z)): 0.00
Epoch [184/200], Step [20/25], disc_loss: 0.0139, gen_loss: 5.7898, D(x): 1.00, D (G(z)): 0.03
Epoch [185/200], Step [20/25], disc_loss: 0.0058, gen_loss: 4.9152, D(x): 1.00, D (G(z)): 0.01
Epoch [186/200], Step [20/25], disc_loss: 0.0002, gen_loss: 15.6898, D(x): 1.00, D (G(z)): 0.00
Epoch [187/200], Step [20/25], disc_loss: 0.0057, gen_loss: 5.3900, D(x): 1.00, D (G(z)): 0.01
Epoch [188/200], Step [20/25], disc_loss: 0.0118, gen_loss: 5.4986, D(x): 1.00, D (G(z)): 0.02
Epoch [189/200], Step [20/25], disc_loss: 0.0128, gen_loss: 5.2541, D(x): 1.00, D (G(z)): 0.02
Epoch [190/200], Step [20/25], disc_loss: 0.0140, gen_loss: 5.5162, D(x): 0.98, D (G(z)): 0.01
Epoch [191/200], Step [20/25], disc_loss: 0.0075, gen_loss: 6.7817, D(x): 0.99, D (G(z)): 0.00
Epoch [192/200], Step [20/25], disc_loss: 0.1913, gen_loss: 12.7677, D(x): 1.00, D (G(z)): 0.31
Epoch [193/200], Step [20/25], disc_loss: 0.7463, gen_loss: 11.6918, D(x): 0.37, D (G(z)): 0.00
Epoch [194/200], Step [20/25], disc_loss: 0.0090, gen_loss: 5.0696, D(x): 1.00, D (G(z)): 0.02
Epoch [195/200], Step [20/25], disc_loss: 0.1772, gen_loss: 11.2443, D(x): 1.00, D (G(z)): 0.30
Epoch [196/200], Step [20/25], disc_loss: 0.0143, gen_loss: 6.4653, D(x): 1.00, D (G(z)): 0.03
Epoch [197/200], Step [20/25], disc_loss: 0.0142, gen_loss: 5.1189, D(x): 1.00, D (G(z)): 0.03
Epoch [198/200], Step [20/25], disc_loss: 0.0124, gen_loss: 5.6552, D(x): 1.00, D (G(z)): 0.02
Epoch [199/200], Step [20/25], disc_loss: 0.0017, gen_loss: 13.0623, D(x): 1.00, D (G(z)): 0.00
Epoch [200/200], Step [20/25], disc_loss: 0.0094, gen_loss: 6.6884, D(x): 0.99, D (G(z)): 0.01
